DSAC
Консоль:
Ep 1830 | Reward:   121.3 | Avg100:    87.7 | Best:   253.3 | Steps: 1000 | Loss: 0.0342
Ep 1840 | Reward:   -72.8 | Avg100:    87.6 | Best:   253.3 | Steps: 327 | Loss: -0.4999
Ep 1850 | Reward:   108.0 | Avg100:    86.5 | Best:   253.3 | Steps: 1000 | Loss: 0.0094
Ep 1860 | Reward:    24.2 | Avg100:    88.5 | Best:   253.3 | Steps: 158 | Loss: -0.3886
Ep 1870 | Reward:   148.2 | Avg100:    85.9 | Best:   253.3 | Steps: 1000 | Loss: 0.1301
Ep 1880 | Reward:   161.7 | Avg100:    89.4 | Best:   253.3 | Steps: 1000 | Loss: 0.1242
Ep 1890 | Reward:    32.3 | Avg100:    91.1 | Best:   253.3 | Steps: 1000 | Loss: 0.0514
Ep 1900 | Reward:   118.9 | Avg100:    94.0 | Best:   253.3 | Steps: 1000 | Loss: 0.0259
Ep 1910 | Reward:   137.2 | Avg100:    97.9 | Best:   253.3 | Steps: 1000 | Loss: 0.0857
Ep 1920 | Reward:    53.5 | Avg100:    99.3 | Best:   253.3 | Steps: 1000 | Loss: 0.0528
Ep 1930 | Reward:   131.0 | Avg100:   100.9 | Best:   253.3 | Steps: 1000 | Loss: 0.0986
Ep 1940 | Reward:   149.5 | Avg100:   100.4 | Best:   253.3 | Steps: 1000 | Loss: 0.0757
Ep 1950 | Reward:   106.3 | Avg100:   100.9 | Best:   253.3 | Steps: 1000 | Loss: 0.0777
Ep 1960 | Reward:   169.5 | Avg100:   103.4 | Best:   253.3 | Steps: 1000 | Loss: 0.0117
Ep 1970 | Reward:   154.6 | Avg100:   107.5 | Best:   253.3 | Steps: 1000 | Loss: 0.0278
Ep 1980 | Reward:   135.5 | Avg100:   110.1 | Best:   253.3 | Steps: 1000 | Loss: 0.0060
Ep 1990 | Reward:   162.8 | Avg100:   111.5 | Best:   253.3 | Steps: 1000 | Loss: -0.0226
Ep 2000 | Reward:   101.3 | Avg100:   112.5 | Best:   253.3 | Steps: 1000 | Loss: 0.0229
